concept_id,concept_name
4034964,Abnormal metabolic state due to diabetes mellitus
4321756,Acanthosis nigricans due to type 2 diabetes mellitus
36717156,Acidosis due to type 2 diabetes mellitus
43531588,Angina associated with type 2 diabetes mellitus
45769888,Ankle ulcer due to type 2 diabetes mellitus
4196141,Arthropathy due to type 2 diabetes mellitus
4175440,Autonomic neuropathy due to diabetes mellitus
37016768,Autonomic neuropathy due to type 2 diabetes mellitus
45763582,Blindness due to type 2 diabetes mellitus
4019513,Brittle diabetes mellitus
40483315,Brittle type 2 diabetes mellitus
376979,Cataract due to diabetes mellitus
4221495,Cataract due to diabetes mellitus type 2
43531578,Chronic kidney disease due to type 2 diabetes mellitus
43531559,Chronic kidney disease stage 1 due to type 2 diabetes mellitus
43531566,Chronic kidney disease stage 2 due to type 2 diabetes mellitus
43531653,Chronic kidney disease stage 3 due to type 2 diabetes mellitus
43531577,Chronic kidney disease stage 4 due to type 2 diabetes mellitus
43531562,Chronic kidney disease stage 5 due to type 2 diabetes mellitus
443735,Coma due to diabetes mellitus
442793,Complication due to diabetes mellitus
37309630,Coronary artery disease due to type 2 diabetes mellitus
35626762,Cranial nerve palsy due to diabetes mellitus
45769894,Cranial nerve palsy due to type 2 diabetes mellitus
43531616,Dermopathy due to type 2 diabetes mellitus
201820,Diabetes mellitus
45766050,Diabetes mellitus in remission
45757474,Diabetes mellitus type 2 without retinopathy
36684827,Diabetes mellitus type 2 with periodontal disease
4008576,Diabetes mellitus without complication
4033942,Diabetic dermopathy
4159742,Diabetic foot ulcer
4016045,Diabetic - good control
4114426,Diabetic hand syndrome
37018912,Diabetic hand syndrome due to type 2 diabetes mellitus
443727,Diabetic ketoacidosis
4009303,Diabetic ketoacidosis without coma
4048028,Diabetic mononeuropathy
4311708,Diabetic peripheral neuropathy
443238,Diabetic - poor control
443732,Disorder due to type 2 diabetes mellitus
43531597,Disorder due to well controlled type 2 diabetes mellitus
443767,Disorder of eye due to diabetes mellitus
443733,Disorder of eye due to type 2 diabetes mellitus
192279,Disorder of kidney due to diabetes mellitus
443730,Disorder of nervous system due to diabetes mellitus
376065,Disorder of nervous system due to type 2 diabetes mellitus
4082346,Disorder of soft tissue due to diabetes mellitus
43531564,Dyslipidemia due to type 2 diabetes mellitus
45757280,Dyslipidemia with high density lipoprotein below reference range and triglyceride above reference range due to type 2 diabetes mellitus
45769906,End stage renal disease on dialysis due to type 2 diabetes mellitus
4223463,Exudative maculopathy due to type 2 diabetes mellitus
43530690,Foot ulcer due to type 2 diabetes mellitus
4226354,Gangrene due to diabetes mellitus
4222876,Gangrene due to type 2 diabetes mellitus
37017430,Gastroparesis due to diabetes mellitus
37018728,Gastroparesis due to type 2 diabetes mellitus
45772019,Glaucoma due to type 2 diabetes mellitus
37311673,Hyperglycemia due to diabetes mellitus
37016349,Hyperglycemia due to type 2 diabetes mellitus
45770880,Hyperlipidemia due to type 2 diabetes mellitus
4226238,Hyperosmolar coma due to diabetes mellitus
201530,Hyperosmolar coma due to type 2 diabetes mellitus
4147719,Hyperosmolar non-ketotic state due to diabetes mellitus
4215719,Hyperosmolar non-ketotic state due to type 2 diabetes mellitus
45757392,Hypertension concurrent and due to end stage renal disease on dialysis due to type 2 diabetes mellitus
45771064,Hypertension in chronic kidney disease due to type 2 diabetes mellitus
45757447,Hypertension in chronic kidney disease stage 2 due to type 2 diabetes mellitus
45757446,Hypertension in chronic kidney disease stage 3 due to type 2 diabetes mellitus
45757445,Hypertension in chronic kidney disease stage 4 due to type 2 diabetes mellitus
45757444,Hypertension in chronic kidney disease stage 5 due to type 2 diabetes mellitus
4029423,Hypoglycemia due to diabetes mellitus
45757363,Hypoglycemia due to type 2 diabetes mellitus
45772060,Hypoglycemia unawareness due to type 2 diabetes mellitus
4226798,Hypoglycemic coma due to diabetes mellitus
36714116,Hypoglycemic coma due to type 2 diabetes mellitus
45769875,Insulin reactive hypoglycemia due to type 2 diabetes mellitus
4130162,Insulin treated type 2 diabetes mellitus
35626905,Ischemia of retina due to diabetes mellitus
45757075,Ischemia of retina due to type 2 diabetes mellitus
765375,Ischemic ankle ulcer due to diabetes mellitus type 2
4063569,Ischemic ulcer of foot due to diabetes mellitus
45771072,Ischemic ulcer of foot due to type 2 diabetes mellitus
443734,Ketoacidosis due to type 2 diabetes mellitus
4095288,Ketoacidotic coma due to diabetes mellitus
4228443,Ketoacidotic coma due to type 2 diabetes mellitus
4016047,Loss of hypoglycemic warning due to diabetes mellitus
4191611,Lumbosacral radiculoplexus neuropathy due to diabetes mellitus
4140466,Lumbosacral radiculoplexus neuropathy due to type 2 diabetes mellitus
45770830,Macular edema and retinopathy due to type 2 diabetes mellitus
380097,Macular edema due to diabetes mellitus
35626070,Macular edema due to type 2 diabetes mellitus
42536605,Metabolic acidosis due to diabetes mellitus
45769905,Microalbuminuria due to type 2 diabetes mellitus
4128221,Microalbuminuric diabetic nephropathy
378743,Mild nonproliferative retinopathy due to diabetes mellitus
45757435,Mild nonproliferative retinopathy due to type 2 diabetes mellitus
43531651,Mixed hyperlipidemia due to type 2 diabetes mellitus
377552,Moderate nonproliferative retinopathy due to diabetes mellitus
45770881,Moderate nonproliferative retinopathy due to type 2 diabetes mellitus
4222415,Mononeuropathy due to type 2 diabetes mellitus
4027121,Nephrotic syndrome due to diabetes mellitus
45769828,Nephrotic syndrome due to type 2 diabetes mellitus
760989,Neurogenic erectile dysfunction due to diabetes mellitus type 2
761063,Neuropathic ankle ulcer due to diabetes mellitus type 2
4114427,Neuropathic arthropathy due to diabetes mellitus
43531563,Neuropathic arthropathy due to type 2 diabetes mellitus
4065354,Neuropathic ulcer of foot due to diabetes mellitus
45757450,Neuropathic ulcer of foot due to type 2 diabetes mellitus
37312203,Neuropathic ulcer of heel due to type 2 diabetes mellitus
37312202,Neuropathic ulcer of midfoot due to type 2 diabetes mellitus
45770883,Neuropathic ulcer of toe due to type 2 diabetes mellitus
4044391,Neuropathy due to diabetes mellitus
37016354,Neuropathy due to type 2 diabetes mellitus
376683,Nonproliferative retinopathy due to diabetes mellitus
43530656,Nonproliferative retinopathy due to type 2 diabetes mellitus
45769836,Osteomyelitis due to type 2 diabetes mellitus
4131908,Peripheral angiopathy due to diabetes mellitus
443729,Peripheral circulatory disorder due to type 2 diabetes mellitus
43530689,Peripheral neuropathy due to type 2 diabetes mellitus
45757278,Peripheral sensory neuropathy due to type 2 diabetes mellitus
321822,Peripheral vascular disorder due to diabetes mellitus
4221487,Persistent microalbuminuria due to type 2 diabetes mellitus
4223739,Persistent proteinuria due to type 2 diabetes mellitus
376112,Polyneuropathy due to diabetes mellitus
37017432,Polyneuropathy due to type 2 diabetes mellitus
4063043,Pre-existing type 2 diabetes mellitus
380096,Proliferative retinopathy due to diabetes mellitus
43530685,Proliferative retinopathy due to type 2 diabetes mellitus
45770831,Proliferative retinopathy with retinal edema due to type 2 diabetes mellitus
45757499,Proteinuria due to type 2 diabetes mellitus
4030664,Proteinuric nephropathy due to diabetes mellitus
443731,Renal disorder due to type 2 diabetes mellitus
35626904,Retinal edema due to diabetes mellitus
45770928,Retinal edema due to type 2 diabetes mellitus
4174977,Retinopathy due to diabetes mellitus
4226121,Retinopathy due to type 2 diabetes mellitus
45769872,Rubeosis iridis due to type 2 diabetes mellitus
4131117,Sensory neuropathy due to diabetes mellitus
45769835,Severe malnutrition due to type 2 diabetes mellitus
376114,Severe nonproliferative retinopathy due to diabetes mellitus
761053,Severe nonproliferative retinopathy due to diabetes mellitus type 2
4290822,Severe nonproliferative retinopathy with clinically significant macular edema due to diabetes mellitus
4266637,Severe nonproliferative retinopathy without macular edema due to diabetes mellitus
4227657,Skin ulcer due to diabetes mellitus
36712670,Skin ulcer due to type 2 diabetes mellitus
46274058,Skin ulcer of toe due to diabetes mellitus type 2
4142579,Small vessel disease due to type 2 diabetes mellitus
45770832,Stasis ulcer due to type 2 diabetes mellitus
4338901,Traction detachment of retina due to diabetes mellitus
45773064,Traction detachment of retina due to type 2 diabetes mellitus
201826,Type 2 diabetes mellitus
45757508,Type 2 diabetes mellitus controlled by diet
4230254,Type 2 diabetes mellitus in nonobese
4304377,Type 2 diabetes mellitus in obese
4193704,Type 2 diabetes mellitus without complication
4200875,Type 2 diabetes mellitus with peripheral angiopathy
4099651,Type 2 diabetes mellitus with ulcer
45766052,Type II diabetes mellitus in remission
45769890,Ulcer of forefoot due to type 2 diabetes mellitus
37312207,Ulcer of heel due to diabetes mellitus
37312205,Ulcer of heel due to type 2 diabetes mellitus
36712686,Ulcer of left foot due to type 2 diabetes mellitus
45757277,Ulcer of lower limb due to type 2 diabetes mellitus
37312204,Ulcer of midfoot due to diabetes mellitus
36712687,Ulcer of right foot due to type 2 diabetes mellitus
45757449,Ulcer of toe due to type 2 diabetes mellitus
40482801,Uncontrolled type 2 diabetes mellitus
4195045,Vitreous hemorrhage due to diabetes mellitus
43531608,Vitreous hemorrhage due to type 2 diabetes mellitus
40485020,Well controlled type 2 diabetes mellitus
40480000,Multiple complications due to diabetes mellitus
4099216,Multiple complications due to type 2 diabetes mellitus
761062,Ischemic heel and/or midfoot ulcer due to type 2 diabetes mellitus
35626036,Preproliferative retinopathy of right eye due to diabetes mellitus
35626037,Preproliferative retinopathy of left eye due to diabetes mellitus
35626071,Clinically significant macular edema of right eye due to diabetes mellitus
35626072,Clinically significant macular edema of left eye due to diabetes mellitus
35626087,Disorder of right macula due to diabetes mellitus
35626088,Disorder of left macula due to diabetes mellitus
36674199,Proliferative retinopathy of right eye with diabetes mellitus
36674200,Proliferative retinopathy of left eye due to diabetes mellitus
37018224,At increased risk of ulcer of foot due to diabetes mellitus
37311253,Nonproliferative retinopathy of right eye due to diabetes mellitus
37311254,Nonproliferative retinopathy of left eye due to diabetes mellitus
37311832,Stable treated proliferative retinopathy of left eye due to diabetes mellitus
37311833,Stable treated proliferative retinopathy of right eye due to diabetes mellitus
4061725,Cellulitis of foot due to diabetes mellitus
4066936,Mixed diabetic ulcer - foot
4101887,Mononeuritis multiplex with diabetes mellitus
4101892,Asymptomatic neuropathy due to diabetes mellitus
4105016,Acute painful diabetic neuropathy
4105172,Preproliferative retinopathy due to diabetes mellitus
4105173,Advanced maculopathy due to diabetes mellitus
4105639,Chronic painful neuropathy due to diabetes mellitus
4195043,High risk proliferative retinopathy due to diabetes mellitus
4209538,Advanced retinal disease due to diabetes mellitus
4334884,Disorder of macula due to diabetes mellitus
766253,Exacerbation of type 2 diabetes mellitus
1340306,Exacerbation of diabetes mellitus
1340515,Progression of diabetes mellitus
44793113,Diabetes mellitus with multiple complications
44793114,Pre-existing diabetes mellitus
604741,Glaucoma suspect due to diabetes mellitus type 2
606363,Peripheral autonomic neuropathy due to diabetes mellitus
608884,Inflammatory dermatosis due to type 2 diabetes mellitus
609095,Nonproliferative retinopathy of right eye due to diabetes mellitus type 2
609096,Nonproliferative retinopathy of left eye due to diabetes mellitus type 2
609099,Mild nonproliferative retinopathy of left eye due to diabetes mellitus type 2
609101,Mild nonproliferative retinopathy of right eye due to diabetes mellitus type 2
609103,Bilateral mild nonproliferative retinopathy due to diabetes mellitus type 2
609104,Moderate nonproliferative retinopathy of left eye due to diabetes mellitus type 2
609105,Moderate nonproliferative retinopathy of right eye due to diabetes mellitus type 2
609106,Bilateral moderate nonproliferative retinopathy due to diabetes mellitus type 2
609109,Severe nonproliferative retinopathy of left eye due to diabetes mellitus type 2
609112,Severe nonproliferative retinopathy of right eye due to diabetes mellitus type 2
609114,Bilateral nonproliferative retinopathy due to diabetes mellitus type 2
609116,Proliferative retinopathy of left eye due to diabetes mellitus type 2
609117,Bilateral proliferative retinopathy due to diabetes mellitus type 2
609119,Proliferative retinopathy of right eye due to diabetes mellitus type 2
1340233,Early exacerbation of retinopathy due to diabetes mellitus
3655235,Disorder of macula of bilateral eyes due to diabetes mellitus
3655269,Glaucoma due to diabetes mellitus
3655340,Generalized diabetic autonomic neuropathy
3655382,Ulcer of right foot due to diabetes mellitus
3655383,Ulcer of left foot due to diabetes mellitus
3655384,Chronic ulcer of right foot due to diabetes mellitus
3655385,Chronic ulcer of left foot due to diabetes mellitus
3655913,Severe nonproliferative diabetic retinopathy with venous beading
3655914,Cystoid macular edema due to diabetes mellitus
3655948,Persistent macular edema due to diabetes mellitus
3656194,Centrally involved macular edema due to diabetes mellitus
3656195,Non centrally involved macular edema due to diabetes mellitus
4023792,Pseudotabes due to diabetes mellitus
4029420,Severe hyperglycemia due to diabetes mellitus
4029422,Hypoglycemic event due to diabetes
4044392,Chronic painful polyneuropathy due to diabetes mellitus
4044393,Asymmetric polyneuropathy due to diabetes mellitus
4046332,Diabetic acute painful polyneuropathy
4048029,Thoracic radiculopathy due to diabetes mellitus
4054812,Mixed sensorimotor polyneuropathy due to diabetes mellitus
4082347,Diabetic thick skin syndrome
4082348,Rubeosis faciei due to diabetes mellitus
4087682,Diabetic foot
4096041,Malnutrition-related diabetes mellitus with ketoacidosis
4101478,Microaneurysm of retinal artery due to diabetes mellitus
4102176,Iritis due to diabetes mellitus
4129225,Motor polyneuropathy due to diabetes mellitus
4129520,Nocturnal hypoglycemia due to diabetes mellitus
4137220,Diabetic glomerulonephritis
4147504,Myasthenic syndrome due to diabetic amyotrophy
4147577,Intracapillary glomerulosclerosis of kidney due to diabetes mellitus
4151453,Diabetic optic papillopathy
4161670,Venous beading of retina due to diabetes mellitus
4161671,Non-high-risk proliferative retinopathy with no macular edema due to diabetes mellitus
4162095,Macular edema not clinically significant due to diabetes mellitus
4164174,High risk proliferative retinopathy without macular edema due to diabetes mellitus
4164175,Diabetic intraretinal microvascular anomaly
4164176,High risk proliferative retinopathy not amenable to photocoagulation due to diabetes mellitus
4164632,Very severe proliferative retinopathy due to diabetes mellitus
4169240,Bullosis diabeticorum
4171406,Infection of foot due to diabetes mellitus
4176925,Ophthalmoplegia due to diabetes mellitus
4189418,Radiculoplexus neuropathy due to diabetes mellitus
4194970,Asymmetric proximal motor neuropathy due to diabetes mellitus
4195044,Proliferative retinopathy with iris neovascularization due to diabetes mellitus
4195498,Mixed maculopathy due to diabetes mellitus
4199039,Diffuse exudative maculopathy due to diabetes mellitus
4206115,Glomerulopathy due to diabetes mellitus
4208701,Necrobiosis lipoidica diabeticorum
4210128,Non-high-risk proliferative retinopathy due to diabetes mellitus
4210129,Quiescent proliferative retinopathy due to diabetes mellitus
4210872,Focal exudative maculopathy due to diabetes mellitus
4210874,Ischemic maculopathy due to diabetes mellitus
4221933,Coma due to malnutrition-related diabetes mellitus
4221962,Very severe nonproliferative retinopathy without macular edema due to diabetes mellitus
4223734,Non-ketotic non-hyperosmolar coma due to diabetes mellitus
4224419,Disorder of eye due to malnutrition related diabetes mellitus
4224879,Disorder of nervous system due to malnutrition related diabetes mellitus
4234742,Diabetic neuropathy with neurologic complication
4242528,Diarrhea due to diabetes mellitus
4243625,Diffuse glomerulosclerosis of kidney due to diabetes mellitus
4262282,Diabetic mononeuropathy multiplex
4263090,Femoral mononeuropathy due to diabetes mellitus
4265913,Pretibial pigmental patches due to diabetes mellitus
4266041,Visually threatening diabetic retinopathy
4266042,High risk proliferative retinopathy with clinically significant macula edema due to diabetes mellitus
4269870,Non-high-risk proliferative retinopathy with clinically significant macular edema due to diabetes mellitus
4269871,Very severe nonproliferative retinopathy due to diabetes mellitus
4270049,Nodular type diabetic glomerulosclerosis
4290823,Very severe nonproliferative retinopathy with clinically significant macular edema due to diabetes mellitus
4294429,Wet gangrene of foot due to diabetes mellitus
4304701,Mononeuropathy simplex due to diabetes mellitus
4307319,Symmetric proximal motor neuropathy due to diabetes mellitus
4307799,Anemia due to diabetes mellitus
4315903,Xanthoma diabeticorum
4336000,Proliferative retinopathy with neovascularization elsewhere than the optic disc due to diabetes mellitus
4338900,Proliferative retinopathy with optic disc neovascularization due to diabetes mellitus
35625717,Cataract of right eye due to diabetes mellitus
35625718,Cataract of left eye due to diabetes mellitus
35625719,Diabetic cataract of bilateral eyes
35625722,Iritis of right eye due to diabetes mellitus
35625723,Iritis of left eye due to diabetes mellitus
35625724,Bilateral iritis due to diabetes mellitus
35626038,Mild nonproliferative retinopathy of right eye due to diabetes mellitus
35626039,Mild nonproliferative retinopathy of left eye due to diabetes mellitus
35626041,Moderate nonproliferative diabetic retinopathy of right eye
35626042,Moderate nonproliferative diabetic retinopathy of left eye
35626043,Severe nonproliferative retinopathy of right eye due to diabetes mellitus
35626044,Severe nonproliferative retinopathy of left eye due to diabetes mellitus
35626046,Very severe nonproliferative retinopathy of right eye due to diabetes mellitus
35626047,Very severe nonproliferative retinopathy of left eye due to diabetes mellitus
35626067,Macular edema of right eye due to diabetes mellitus
35626068,Macular edema of left eye due to diabetes mellitus
35626761,Cervical radiculoplexus neuropathy due to diabetes mellitus
35626764,Clinically significant macular edema due to diabetes mellitus
36674651,Vitreous hemorrhage of right eye due to diabetes mellitus
36674652,Vitreous hemorrhage of left eye due to diabetes mellitus
36674752,Microaneurysm of right retinal artery due to diabetes mellitus
36674753,Microaneurysm of left retinal artery due to diabetes mellitus
36674765,Venous beading of right retina due to diabetes mellitus
36674766,Venous beading of left retina due to diabetes mellitus
36716853,Renal papillary necrosis due to diabetes mellitus
37016350,Dermatitis due to drug induced diabetes mellitus
37016355,Hyperosmolar coma due to secondary diabetes mellitus
37016357,Non-proliferative retinopathy due to secondary diabetes mellitus
37016358,Moderate nonproliferative retinopathy due to secondary diabetes mellitus
37017221,Neovascular glaucoma due to diabetes mellitus
37109305,Hyperosmolarity due to drug induced diabetes mellitus
37110068,Diabetic mastopathy
37110593,Lesion of skin due to diabetes mellitus
37160913,Disorder due to malnutrition related diabetes mellitus
37162626,Neovascular glaucoma due to diabetes mellitus type 2
37163711,Diabetic neurotrophic keratitis
37165200,Diabetic skin disorder
37166059,Brachial plexus lesion due to diabetes mellitus
37169959,Diabetic foot ulcer in remission
37169960,Diabetic ulcer of right foot in remission
37169961,Diabetic ulcer of left foot in remission
37311453,Armanni-Ebstein kidney due to diabetes mellitus
37312019,Diabetic cardiomyopathy
37312198,Sensory polyneuropathy due to diabetes mellitus
40480031,Hyperglycemic crisis due to diabetes mellitus
40482458,Macroalbuminuric nephropathy due to diabetes mellitus
42536400,Absence of lower limb due to diabetes mellitus
42536603,Hyperosmolar hyperglycemic coma due to diabetes mellitus without ketoacidosis
42536604,Lactic acidosis due to diabetes mellitus
42538715,Acute complication due to diabetes mellitus
44805212,Symptomatic diabetic peripheral neuropathy
44805628,Diabetic retinopathy detected by national screening programme
45757065,Proliferative retinopathy following surgery due to diabetes mellitus
45772914,Glomerulosclerosis of kidney due to diabetes mellitus
